"PathwayID","PathwayName","Class_L2","Class_L1"
"P345-PWY","aldoxime degradation","Other","Other"
"P381-PWY","adenosylcobalamin biosynthesis II (aerobic)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"P4-PWY","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"P401-PWY","cyanide degradation","Other","Other"
"P41-PWY","pyruvate fermentation to acetate and (S)-lactate I","Energy / central carbon metabolism","Energy metabolism"
"P42-PWY","incomplete reductive TCA cycle","Energy / central carbon metabolism","Energy metabolism"
"P421-PWY","4-nitrotoluene degradation I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"P441-PWY","superpathway of N-acetylneuraminate degradation","Other","Other"
"P461-PWY","hexitol fermentation to lactate, formate, ethanol and acetate","Energy / central carbon metabolism","Energy metabolism"
"P481-PWY","adamantanone degradation","Other","Other"
"P482-PWY","arsonoacetate degradation","Other","Other"
"P483-PWY","phosphonoacetate degradation","Other","Other"
"P541-PWY","glycine betaine biosynthesis IV (from glycine)","Amino acid metabolism","Biosynthesis / cellular components"
"P542-PWY","choline-O-sulfate degradation","Sulfur metabolism","Substrate utilization / nutrient cycling"
"P561-PWY","proline betaine degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"P562-PWY","myo-inositol degradation I","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"P581-PWY","thiocyanate degradation I","Other","Other"
"P601-PWY","(+)-camphor degradation","Other","Other"
"P621-PWY","nylon-6 oligomer degradation","Other","Other"
"P641-PWY","phenylmercury acetate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"P661-PWY","dibenzo-p-dioxin degradation","Other","Other"
"P662-PWY","dibenzofuran degradation","Other","Other"
"PANTO-PWY","phosphopantothenate biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PANTOSYN-PWY","superpathway of coenzyme A biosynthesis I (bacteria)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PARATHION-DEGRADATION-PWY","parathion degradation","Other","Other"
"PCEDEG-PWY","tetrachloroethene degradation","Other","Other"
"PCPDEG-PWY","pentachlorophenol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PENTOSE-P-PWY","pentose phosphate pathway","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PEPTIDOGLYCANSYN-PWY","peptidoglycan biosynthesis I (meso-diaminopimelate containing)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PHENOLDEG-PWY","phenol degradation II (anaerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PHENYLALANINE-DEG1-PWY","L-phenylalanine degradation I (aerobic)","Amino acid metabolism","Biosynthesis / cellular components"
"PHESYN","L-phenylalanine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"PHOSLIPSYN-PWY","superpathway of phospholipid biosynthesis I (bacteria)","Lipid metabolism","Biosynthesis / cellular components"
"PHOSLIPSYN2-PWY","superpathway of phospholipid biosynthesis II (plants)","Lipid metabolism","Biosynthesis / cellular components"
"PHOSPHONOTASE-PWY","2-aminoethylphosphonate degradation I","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PHOTOALL-PWY","oxygenic photosynthesis","Other","Other"
"PLPSAL-PWY","pyridoxal 5'-phosphate salvage I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"POLYAMINSYN3-PWY","superpathway of polyamine biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"POLYAMSYN-PWY","superpathway of polyamine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"POLYISOPRENSYN-PWY","polyisoprenoid biosynthesis (E. coli)","Other","Other"
"PPGPPMET-PWY","ppGpp metabolism","Cellular processes","Cellular processes"
"PROPFERM-PWY","superpathway of L-alanine fermentation (Stickland reaction)","Amino acid metabolism","Biosynthesis / cellular components"
"PROPIONMET-PWY","propanoyl CoA degradation I","Other","Other"
"PROSYN-PWY","L-proline biosynthesis I (from L-glutamate)","Amino acid metabolism","Biosynthesis / cellular components"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","protocatechuate degradation II (ortho-cleavage pathway)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PROUT-PWY","L-proline degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"PRPP-PWY","superpathway of histidine, purine, and pyrimidine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PUTDEG-PWY","putrescine degradation I","Other","Other"
"PWY-0","putrescine degradation III","Other","Other"
"PWY-1","lathyrine biosynthesis","Other","Other"
"PWY-1001","cellulose biosynthesis","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-101","photosynthesis light reactions","Other","Other"
"PWY-102","gibberellin inactivation I (2&beta;-hydroxylation)","Other","Other"
"PWY-1042","glycolysis IV","Energy / central carbon metabolism","Energy metabolism"
"PWY-1061","homogalacturonan biosynthesis","Other","Other"
"PWY-1081","homogalacturonan degradation","Other","Other"
"PWY-112","lupeol biosynthesis","Other","Other"
"PWY-1121","suberin monomers biosynthesis","Other","Other"
"PWY-116","coniferin metabolism","Other","Other"
"PWY-1164","carbon disulfide oxidation I (anaerobic)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-1186","L-homomethionine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-1187","glucosinolate biosynthesis from homomethionine","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-12","pentaketide chromone biosynthesis","Other","Other"
"PWY-1263","taurine degradation I","Other","Other"
"PWY-1264","taurine degradation II","Other","Other"
"PWY-1269","CMP-3-deoxy-D-manno-octulosonate biosynthesis","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-1281","sulfoacetaldehyde degradation I","Other","Other"
"PWY-13","superpathway of tetrahydroxyxanthone biosynthesis","Other","Other"
"PWY-1341","phenylacetate degradation II (anaerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-1361","benzoyl-CoA degradation I (aerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-1381","fluorene degradation II","Other","Other"
"PWY-142","m-xylene degradation (anaerobic)","Other","Other"
"PWY-1422","vitamin E biosynthesis (tocopherols)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-1501","mandelate degradation I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-1541","superpathway of taurine degradation","Other","Other"
"PWY-1581","plastoquinol-9 biosynthesis I","Other","Other"
"PWY-1622","formaldehyde assimilation I (serine pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-1641","methane oxidation to methanol I","Other","Other"
"PWY-1701","methanol and methylamine oxidation to formaldehyde","Other","Other"
"PWY-1722","formate assimilation into 5,10-methylenetetrahydrofolate","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-1723","formaldehyde oxidation VI (H4MPT pathway)","Energy / central carbon metabolism","Energy metabolism"
"PWY-1741","indole-3-acetate inactivation IX","Other","Other"
"PWY-1781","&beta;-alanine degradation II","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-1782","superpathway of indole-3-acetate conjugate biosynthesis","Other","Other"
"PWY-1801","formaldehyde oxidation II (glutathione-dependent)","Energy / central carbon metabolism","Energy metabolism"
"PWY-181","photorespiration","Energy / central carbon metabolism","Energy metabolism"
"PWY-1822","indole-3-acetate activation I","Other","Other"
"PWY-1861","formaldehyde assimilation II (assimilatory RuMP Cycle)","Energy / central carbon metabolism","Energy metabolism"
"PWY-1881","formate oxidation to CO2","Energy / central carbon metabolism","Energy metabolism"
"PWY-1882","superpathway of C1 compounds oxidation to CO2","Energy / central carbon metabolism","Energy metabolism"
"PWY-1901","aurone biosynthesis","Other","Other"
"PWY-1921","indole-3-acetate activation II","Other","Other"
"PWY-1961","indole-3-acetate inactivation I","Other","Other"
"PWY-1962","indole-3-acetate inactivation II","Other","Other"
"PWY-1981","indole-3-acetate inactivation III","Other","Other"
"PWY-2","putrescine degradation IV","Other","Other"
"PWY-2002","isoflavonoid biosynthesis I","Other","Other"
"PWY-2021","indole-3-acetate inactivation IV","Other","Other"
"PWY-2055","superpathway of pterocarpan biosynthesis (via daidzein)","Other","Other"
"PWY-2083","isoflavonoid biosynthesis II","Other","Other"
"PWY-2161","folate polyglutamylation","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-2161B","glutamate removal from folates","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-2181","free phenylpropanoid acid biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-2201","folate transformations I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-2221","Entner-Doudoroff pathway III (semi-phosphorylative)","Energy / central carbon metabolism","Energy metabolism"
"PWY-2229","superpathway of pterocarpan biosynthesis (via formononetin)","Other","Other"
"PWY-2242","ammonia oxidation III","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-2261","ascorbate glutathione cycle","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-2301","myo-inositol biosynthesis","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-2321","formononetin biosynthesis","Other","Other"
"PWY-2343","daidzein conjugates interconversion","Other","Other"
"PWY-2345","genistein conjugates interconversion","Other","Other"
"PWY-2361","3-oxoadipate degradation","Other","Other"
"PWY-2381","4-nitrobenzoate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-241","C4 photosynthetic carbon assimilation cycle, NADP-ME type","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-2421","indole-3-acetate degradation I","Other","Other"
"PWY-2463","(-)-medicarpin biosynthesis","Other","Other"
"PWY-2464","(-)-maackiain biosynthesis","Other","Other"
"PWY-2467","(+)-pisatin biosynthesis","Other","Other"
"PWY-2501","fatty acid &alpha;-oxidation I (plants)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-2503","benzoate degradation I (aerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-2504","superpathway of aromatic compound degradation via 3-oxoadipate","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-2541","phytosterol biosynthesis (plants)","Other","Other"
"PWY-2561","medicarpin conjugates interconversion","Other","Other"
"PWY-2582","brassinosteroid biosynthesis II","Other","Other"
"PWY-2601","isethionate degradation","Other","Other"
"PWY-2622","trehalose biosynthesis IV","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-2661","trehalose biosynthesis V","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-2681","trans-zeatin biosynthesis","Other","Other"
"PWY-2701","maackiain conjugates interconversion","Other","Other"
"PWY-2721","trehalose degradation III","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-2722","trehalose degradation IV","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-2723","trehalose degradation V","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-2724","alkane oxidation","Other","Other"
"PWY-2761","(-)-glycinol biosynthesis","Other","Other"
"PWY-2762","glyceollin biosynthesis","Other","Other"
"PWY-2781","cis-zeatin biosynthesis","Other","Other"
"PWY-282","cuticular wax biosynthesis","Other","Other"
"PWY-2821","glucosinolate biosynthesis from phenylalanine","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-283","benzoate degradation II (aerobic and anaerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-2841","cytokinins degradation","Other","Other"
"PWY-2861","biochanin A conjugates interconversion","Other","Other"
"PWY-2881","cytokinins 7-N-glucoside biosynthesis","Other","Other"
"PWY-2901","cytokinins 9-N-glucoside biosynthesis","Other","Other"
"PWY-2902","cytokinin-O-glucosides biosynthesis","Other","Other"
"PWY-2904","formononetin conjugates interconversion","Other","Other"
"PWY-2921","capsidiol biosynthesis","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-2941","L-lysine biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-2942","L-lysine biosynthesis III","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-2961","sesquiterpenoid phytoalexins biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-2981","diterpene phytoalexins precursors biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-3","putrescine degradation V","Other","Other"
"PWY-3001","superpathway of L-isoleucine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-301","cyclohexane-1-carboxylate degradation (anaerobic)","Other","Other"
"PWY-3022","linamarin biosynthesis","Other","Other"
"PWY-3041","monoterpene biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-3042","phaseollin biosynthesis","Other","Other"
"PWY-3061","menthol biosynthesis","Other","Other"
"PWY-3081","L-lysine biosynthesis V","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-3097","superpathway of isoflavonoids (via naringenin)","Other","Other"
"PWY-31","canavanine degradation","Other","Other"
"PWY-3101","flavonol biosynthesis","Other","Other"
"PWY-3121","linamarin degradation","Other","Other"
"PWY-3161","indole-3-acetate biosynthesis III (bacteria)","Other","Other"
"PWY-3162","L-tryptophan degradation V (side chain pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-3181","L-tryptophan degradation VI (via tryptamine)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-321","cutin biosynthesis","Other","Other"
"PWY-3261","UDP-&beta;-L-rhamnose biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-3282","superpathway of ammonia assimilation (plants)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-3301","sinapate ester biosynthesis","Other","Other"
"PWY-3341","L-proline biosynthesis III (from L-ornithine)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-3385","choline biosynthesis I","Other","Other"
"PWY-3461","L-tyrosine biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-3462","L-phenylalanine biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-3481","superpathway of L-phenylalanine and L-tyrosine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-3502","superpathway of NAD biosynthesis in eukaryotes","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-3542","choline biosynthesis II","Other","Other"
"PWY-3561","choline biosynthesis III","Other","Other"
"PWY-3581","(S)-reticuline biosynthesis I","Other","Other"
"PWY-3602","L-carnitine degradation II","Other","Other"
