"ASV","Indicator","stat","p.value","p_adj","Phylum","Class","Order","Family","Genus"
"ac64844c5af156e34c119ef78674b165","Wet",0.595340557787587,0.001,0.005671875,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","",""
"153099e759ce3755a1d686782bd3404f","Dry",0.594345059166418,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","",""
"5826bee6e57cf2c28570dadd7bb54788","Dry",0.59414392779011,0.001,0.005671875,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"49e667824db3af12546810d0e2edc920","Dry",0.594088525786005,0.001,0.005671875,"Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter"
"14787eee21949f2ce2c8e95dfe7b645a","Wet",0.591681141935537,0.003,0.0135111662531017,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured"
"04dc3e026118139444af391cbe521c39","Wet",0.591573927760362,0.001,0.005671875,"","","","",""
"b7d7b31cd6b82d43f5231535be715778","Wet",0.591371074010368,0.001,0.005671875,"Actinobacteriota","Acidimicrobiia","Actinomarinales","uncultured","uncultured"
"4b74164af38aec0a4b59d40a49b2a66d","Dry",0.590882706118897,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","uncultured"
"e1b514ed7a7831fff64d4f44d5ad989c","Dry",0.590191890251556,0.001,0.005671875,"Myxococcota","Polyangia","","",""
"573c33409046d6f7c551ffcf1d97d3f4","Dry",0.58913980914429,0.001,0.005671875,"Patescibacteria","Saccharimonadia","Saccharimonadales","",""
"9e4a2c709c14a47f2417eb07bcdc6d6a","Dry",0.589124836101843,0.001,0.005671875,"Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14"
"3a659a9920937293079ac0ec995e061d","Dry",0.588607420281063,0.001,0.005671875,"Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","AKIW781"
"e1534217c23c7fa9562db7f11b50525b","Wet",0.5881761505358,0.002,0.00977119784656797,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067"
"76f6df70ca9b309010992b01c58a50dd","Dry",0.58786276368221,0.001,0.005671875,"Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45"
"bf670bbc0e027ec8c567f43e8c8488e9","Wet",0.586367980524676,0.001,0.005671875,"Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7"
"7552e27f8054c16a9d78e32787c2a27d","Wet",0.58534184112513,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",""
"3766392dc136aeaae38cf3d3d34316fe","Wet",0.584612822215468,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",""
"c65404240a1d23c9ecc21a32f1bc7fe9","Wet",0.584612822215468,0.001,0.005671875,"Verrucomicrobiota","Chlamydiae","Chlamydiales","",""
"ba7514af0613a537e7c3898eb68f26fd","Wet",0.584612822215468,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Inhella"
"a921ba4ff0d0e053b46032aefd698205","Wet",0.584612822215468,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillaceae"
"7343fb084b4650b09211069e56672b69","Wet",0.584612822215468,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Aquipuribacter"
"7a438c585c8bb4f4fcb2c572013df39e","Dry",0.584582651453178,0.001,0.005671875,"","","","",""
"643ecd7e85f73dd1158e84c23b1aef5b","Dry",0.582628904195713,0.001,0.005671875,"Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"d6e38a4f87e2f70cbc3cca759c1cfbd4","Wet",0.582199384381714,0.001,0.005671875,"Myxococcota","Polyangia","Polyangiales","Polyangiaceae","uncultured"
"81106c507b0f602b254de78a2b5b2fe7","Wet",0.581154062513433,0.001,0.005671875,"Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
"3fb329840f235eaa3bf86f4158e898e1","Dry",0.580166388860433,0.001,0.005671875,"Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Parviterribacter"
"83720cfc6e4a25df794c07e131d8cda6","Wet",0.579996936581092,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","uncultured","uncultured"
"b3e8d1ac58ca1c9edef79f931e11f82c","Wet",0.578588476636104,0.001,0.005671875,"Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria"
