"ASV","rho","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"02529e51c3960e94cebebd7167de9091",0.251808497686497,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus_sp"
"cf49190863c67052e294bc560608f15d",-0.697312491210976,"Fungi","Ascomycota","","","","",""
"9d573ea34130eb348ecbea9ae4d49c23",-0.373201684568383,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Serendipita_sp"
"b063b88fc62067e649e6465093e6289b",-0.140510576362827,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","",""
"3d5dd4af0b00d9b82c1431e26dd15c75",-0.319912862722025,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","Podospora_sp"
"09f9cdc61da57b8c1d4a8f9a8e530bc7",-0.0946109233538598,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Hirsutella","Hirsutella_minnesotensis"
"5a7a6b54f4b1ab0925908b58e4c3d010",0.0132146014788452,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella_panaeoloides"
"1ac3d165e7e99a7d1086ff6cd5a6eedf",-0.00916841001832435,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Laburnicola","Laburnicola_sp"
"53aced87037f5379b8e5f100fb886abd",-0.234095110218225,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Protocreopsis","Protocreopsis_rutila"
"e9d861af223ec70c9c687f0fc06619d1",0.0279166121107395,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",""
"93864067512cb1b7186f2d08e9e65a6e",0.0381578058052993,"Fungi","","","","","",""
"60c4503cc5091926c0fe5039f5800884",-0.185069004720897,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_pye"
"5a2ad356091ececd145655fe34e0e6ec",-0.324290876056942,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","Podospora_sp"
"6bc40377b677d5bc91fea6f642534f1b",0.0366436071622318,"Fungi","","","","","",""
"4fbb4e956abe057c23855dc3aff42015",0.133855160047161,"Fungi","Ascomycota","","","","",""
"7e1bed3754564ad4be7b5af3034713ec",-0.127061080271108,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina"
"6378111ada62b59a2f7cc40c8a9cf978",0.0571461223526657,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Niesslia","Niesslia_ligustica"
"5dcfdd17bf635f9074c2bc3ab9ec3e22",0.162652062883233,"Fungi","Ascomycota","Sordariomycetes","","","",""
"b84d6f9f10d59c7eac755c86ac44b80f",-0.384398229890294,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma_terrea"
"2f69afff0fd14c97dc23ea9b0410d8aa",-0.10352071389771,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Corynesporascaceae","Corynespora","Corynespora_sp"
"2099161ade7d0964a44675be6a3f0670",-0.179802928632373,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella_panaeoloides"
"066857f0993123c92e8003e89f0d5245",-0.0379568340349809,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_chlamydocopiosa"
"60ddcfe81120f7e792329572cf7ac536",0.0541906501482068,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","",""
