"OTU","Sample","Abundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Kingdom","Phylum"
"e3ac9f3a8e9420c5646705867fdd9409","36WHC1F",0.771471946768306,"Pot-36","Wet","High","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","39WHC1F",0.75937983668677,"Pot-39","Wet","High","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","53WHH2F",0.75006457802871,"Pot-53","Wet","High","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","38WHC1F",0.705841867635723,"Pot-38","Wet","High","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","27WLH1F",0.695860278018229,"Pot-27","Wet","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","25WLH2F",0.695349306770763,"Pot-25","Wet","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","52WHH2F",0.694962370330192,"Pot-52","Wet","High","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","88DLH2F",0.66630891691262,"Pot-88","Dry","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","28WLH1F",0.65610244670196,"Pot-28","Wet","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","21WLH2F",0.576356720521222,"Pot-21","Wet","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","23WLH2F",0.51315863307334,"Pot-23","Wet","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"150ec7aec130f31413bf7fe1f09648dc","23WLH2F",0.483306211772628,"Pot-23","Wet","Low","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","28WLH1F",0.343682930319073,"Pot-28","Wet","Low","Heterospecific",1,"Fungi","Fungi","Basidiomycota"
"29accfdd05fabce0f414542cd24846a4","52WHH2F",0.302664587429656,"Pot-52","Wet","High","Heterospecific",2,"Fungi","Fungi","Chytridiomycota"
"150ec7aec130f31413bf7fe1f09648dc","88DLH2F",0.297647795367141,"Pot-88","Dry","Low","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","38WHC1F",0.293056932055941,"Pot-38","Wet","High","Conspecific",1,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","27WLH1F",0.256988645043027,"Pot-27","Wet","Low","Heterospecific",1,"Fungi","Fungi","Basidiomycota"
"29accfdd05fabce0f414542cd24846a4","21WLH2F",0.25251384024404,"Pot-21","Wet","Low","Heterospecific",2,"Fungi","Fungi","Chytridiomycota"
"29accfdd05fabce0f414542cd24846a4","25WLH2F",0.252490240947638,"Pot-25","Wet","Low","Heterospecific",2,"Fungi","Fungi","Chytridiomycota"
"150ec7aec130f31413bf7fe1f09648dc","39WHC1F",0.234535944921812,"Pot-39","Wet","High","Conspecific",1,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","70DLC2F",0.215222422216508,"Pot-70","Dry","Low","Conspecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","53WHH2F",0.215100188198827,"Pot-53","Wet","High","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","36WHC1F",0.211957750573339,"Pot-36","Wet","High","Conspecific",1,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","38WHC2F",0.175494537939179,"Pot-38","Wet","High","Conspecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","86DLH2F",0.173452341177032,"Pot-86","Dry","Low","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","87DLH2F",0.172909522553416,"Pot-87","Dry","Low","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","35WHC1F",0.168998888380305,"Pot-35","Wet","High","Conspecific",1,"Fungi","Fungi","Basidiomycota"
"29accfdd05fabce0f414542cd24846a4","9WLC2F",0.160374314294934,"Pot-9","Wet","Low","Conspecific",2,"Fungi","Fungi","Chytridiomycota"
"150ec7aec130f31413bf7fe1f09648dc","59WHH2F",0.158435264251096,"Pot-59","Wet","High","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","21WLH2F",0.15565096222649,"Pot-21","Wet","Low","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","84DLH2F",0.148015004688965,"Pot-84","Dry","Low","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","54WHH2F",0.145463616278241,"Pot-54","Wet","High","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
"29accfdd05fabce0f414542cd24846a4","59WHH1F",0.143597122302158,"Pot-59","Wet","High","Heterospecific",1,"Fungi","Fungi","Chytridiomycota"
"150ec7aec130f31413bf7fe1f09648dc","40WHC1F",0.137179278986684,"Pot-40","Wet","High","Conspecific",1,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","54WHH1F",0.120657139264909,"Pot-54","Wet","High","Heterospecific",1,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","84DLH1F",0.115450538687561,"Pot-84","Dry","Low","Heterospecific",1,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","24WLH1F",0.109647248133156,"Pot-24","Wet","Low","Heterospecific",1,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","31WHC1F",0.10820711043193,"Pot-31","Wet","High","Conspecific",1,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","66DLC1F",0.107667915825886,"Pot-66","Dry","Low","Conspecific",1,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","5WLC2F",0.0910243975229426,"Pot-5","Wet","Low","Conspecific",2,"Fungi","Fungi","Basidiomycota"
"150ec7aec130f31413bf7fe1f09648dc","89DLH2F",0.0907990009334712,"Pot-89","Dry","Low","Heterospecific",2,"Fungi","Fungi","Basidiomycota"
