ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
614523b2b947f178713286c752985848,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeriaceae_gen_Incertae_sedis,Teratosphaeriaceae_sp
c00b35fba5a0fc4006205d6130babe7f,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Slopeiomyces,Slopeiomyces_cylindrosporus
b52ad1048b2bde9452e1cb57ad175d02,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Neodevriesiaceae,Neodevriesia,
090c1374753ab9590e3c0c41b3a934fa,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Lentitheciaceae_gen_Incertae_sedis,Lentitheciaceae_sp
5382809cd1770322d5b9f2bad89e9ffc,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,
5b68f075fda5c2094b49248055b1989d,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_sp
67685e53add4cf07ba3e22f5decef899,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Oliveoniaceae,Oliveonia,Oliveonia_sp
e399dc7c0823811b06f9eea10fa4ea6c,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_cladosporioides
0684981802791d3f2a83682811595e50,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_sp
67b7cba9ec78b33b6e85d2e2eb577eee,Fungi,,,,,,
feb1f0d07662c56d349c16dd3d1ccd36,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotryaceae_gen_Incertae_sedis,Stachybotryaceae_sp
1e4911df12a62159e3c9977139b88f2e,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_acuminatum
5d03fef35191ba77df0603173eea9a5d,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Zopfiella,Zopfiella_sp
4e3da7d45b285d4c594b426a326ec3c2,Fungi,,,,,,
64f7a8e07a9d3b31dbb4bda5ecb5d0c5,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_sp
e7f8fac1e0d99bf4a88927abe8d31497,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
4ff65324323fb91d05cb8e01e47e521c,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,,
128b67721af4dc3a9616b735737e3a59,Fungi,Ascomycota,,,,,
36f6480fc4cf9530034ed25cc4bd106b,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Bradymyces,Bradymyces_sp
a8bb7d5a46fc8c81c6eafffc0cf9b969,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Cucurbitariaceae_gen_Incertae_sedis,Cucurbitariaceae_sp
b1c17a14ce89d6b9cd467d905c97f034,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_victoriae
8a38ebb90c11ab13ffced9af9c587060,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_oregonensis
e7abce2939f89d563e2d7f3c6d386619,Fungi,Ascomycota,Sordariomycetes,,,,
370cc30afd0dc5e065b424b7b37778ac,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Polyphilus,Polyphilus_sp
9d8f4333012e91d1868aaf82ffb06cb7,Fungi,Ascomycota,,,,,
